,hidden_layer_sizes,activation,solver,alpha,learning_rate,max_iter,random_state,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
294,"(150, 100, 50, 25, 10, 5)",relu,adam,0.05,adaptive,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9088292293184032,0.06409833168573958,0.8659366214252837,0.08242863701984754,0.8630457669007615
295,"(150, 100, 50, 25, 10, 5)",relu,adam,0.05,adaptive,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9088292293184032,0.06409833168573958,0.8659366214252837,0.08242863701984754,0.8630457669007615
292,"(150, 100, 50, 25, 10, 5)",relu,adam,0.05,constant,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9088292293184032,0.06409833168573958,0.8659366214252837,0.08242863701984754,0.8630457669007615
293,"(150, 100, 50, 25, 10, 5)",relu,adam,0.05,constant,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9088292293184032,0.06409833168573958,0.8659366214252837,0.08242863701984754,0.8630457669007615
297,"(150, 100, 50, 25, 10, 5)",relu,adam,0.01,constant,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8516463640481178,0.08176510720379737,0.8524183474962246,0.0864846880370808,0.8492359938034209
298,"(150, 100, 50, 25, 10, 5)",relu,adam,0.01,adaptive,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8516463640481178,0.08176510720379737,0.8524183474962246,0.0864846880370808,0.8492359938034209
299,"(150, 100, 50, 25, 10, 5)",relu,adam,0.01,adaptive,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8516463640481178,0.08176510720379737,0.8524183474962246,0.0864846880370808,0.8492359938034209
296,"(150, 100, 50, 25, 10, 5)",relu,adam,0.01,constant,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8516463640481178,0.08176510720379737,0.8524183474962246,0.0864846880370808,0.8492359938034209
282,"(150, 100, 50, 25, 10, 5)",relu,adam,0.0001,adaptive,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8531111220826698,0.08136045520204499,0.8512320038328336,0.08683159835537461,0.8480240686055093
281,"(150, 100, 50, 25, 10, 5)",relu,adam,0.0001,constant,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8531111220826698,0.08136045520204499,0.8512320038328336,0.08683159835537461,0.8480240686055093
