,n_components,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
36,3,4,"['rdvi_skewness', 'ref_skewness_3', 'tex_var_kurtosis_4', 'tex_cor_cv_3']",0.755186429110051,0.10503563308667391,0.8106302762347061,0.09796666220227854,0.808610332514543
52,4,3,"['rdvi_skewness', 'ref_skewness_3', 'tex_cor_cv_3']",0.7479402684581049,0.10657875624562582,0.8095353948701705,0.09824946157988716,0.8080157304675388
82,6,3,"['rdvi_skewness', 'ref_skewness_3', 'tex_cor_cv_3']",0.7479402684581049,0.10657875624562582,0.8095353948701705,0.09824946157988716,0.8080157304675388
67,5,3,"['rdvi_skewness', 'ref_skewness_3', 'tex_cor_cv_3']",0.7479402684581049,0.10657875624562582,0.8095353948701705,0.09824946157988716,0.8080157304675388
50,4,5,"['rdvi_skewness', 'ref_q3_3', 'ref_skewness_3', 'tex_var_kurtosis_4', 'tex_cor_cv_3']",0.7584367787686035,0.10433603276459899,0.8105280269923085,0.09799310693958005,0.807994979224826
22,2,3,"['rdvi_skewness', 'ref_skewness_3', 'tex_var_kurtosis_4']",0.7473614398039584,0.10670105952199281,0.8094923392023923,0.09826056589277508,0.8079723312704965
37,3,3,"['rdvi_skewness', 'ref_skewness_3', 'tex_var_kurtosis_4']",0.7474005055016025,0.10669280956902112,0.809223910529109,0.09832976696511414,0.8077017608790753
188,13,2,"['rdvi_skewness', 'ref_skewness_3']",0.7358009251975299,0.109115025709021,0.8082239602967584,0.09858712722456914,0.8072065807757862
83,6,2,"['rdvi_skewness', 'ref_skewness_3']",0.7358009251975299,0.109115025709021,0.8082239602967584,0.09858712722456914,0.8072065807757862
98,7,2,"['rdvi_skewness', 'ref_skewness_3']",0.7358009251975299,0.109115025709021,0.8082239602967584,0.09858712722456914,0.8072065807757862
68,5,2,"['rdvi_skewness', 'ref_skewness_3']",0.7358009251975299,0.109115025709021,0.8082239602967584,0.09858712722456914,0.8072065807757862
203,14,2,"['rdvi_skewness', 'ref_skewness_3']",0.7358009251975299,0.109115025709021,0.8082239602967584,0.09858712722456914,0.8072065807757862
113,8,2,"['rdvi_skewness', 'ref_skewness_3']",0.7358009251975299,0.109115025709021,0.8082239602967584,0.09858712722456914,0.8072065807757862
128,9,2,"['rdvi_skewness', 'ref_skewness_3']",0.7358009251975299,0.109115025709021,0.8082239602967584,0.09858712722456914,0.8072065807757862
