,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,random_state,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
118,100,8,3,2,log2,42,2,"['rdvi_skewness', 'tex_homo_cv_4']",0.8936308653091674,0.06923516415670579,0.870722343123187,0.08094402100116532,0.8700365200097822
262,700,8,3,2,log2,42,2,"['rdvi_skewness', 'tex_homo_cv_4']",0.8953789936449487,0.06866388303445194,0.8700797730320579,0.08114493636858693,0.8693905410587531
214,500,8,3,2,log2,42,2,"['rdvi_skewness', 'tex_homo_cv_4']",0.895415760186006,0.06865181683762228,0.8696858557104842,0.08126785873578878,0.8689945339901154
151,200,3,3,2,log2,42,1,['rdvi_skewness'],0.8007270209019577,0.09476394234913932,0.8664644618176944,0.08226620610227482,0.8661111931981645
187,200,18,3,2,log2,42,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9383759467265359,0.052697989094342146,0.8675833982572595,0.08192081378373875,0.8658131228328914
110,100,5,3,2,log2,42,2,"['rdvi_skewness', 'tex_homo_cv_4']",0.8496332248596371,0.08231800866129772,0.8660513499854956,0.08239335914206586,0.8653407470676467
238,500,18,3,2,log2,42,2,"['rdvi_skewness', 'tex_homo_cv_4']",0.9115807125975148,0.06312369581407586,0.8660020252852997,0.08240852784169826,0.8652911606979538
230,500,15,3,2,log2,42,2,"['rdvi_skewness', 'tex_homo_cv_4']",0.9116474494579019,0.0630998691547194,0.8658604523082989,0.08245204991984852,0.8651488366706771
343,1200,3,3,2,log2,42,1,['rdvi_skewness'],0.8009545564272089,0.09470982482130517,0.8653520171300072,0.0826081629911577,0.864995805535113
295,1000,3,3,2,log2,42,1,['rdvi_skewness'],0.8008824327212672,0.0947269822220499,0.8652094522681979,0.08265188405318595,0.8648528635175847
247,700,3,3,2,log2,42,1,['rdvi_skewness'],0.8006975370687289,0.09477095258440676,0.8650662136608523,0.08269578845671259,0.8647092459721244
163,200,8,3,2,log2,42,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9308281713824789,0.055832045790463344,0.8664891301389663,0.08225860714037778,0.8647042254616798
103,100,3,3,2,log2,42,1,['rdvi_skewness'],0.800691060252915,0.09477249247761382,0.8649735139551541,0.08272418964256677,0.8646163010291095
199,500,3,3,2,log2,42,1,['rdvi_skewness'],0.8007827648379371,0.09475068695285027,0.8649144021535575,0.08274229513047196,0.8645570328470855
323,1000,15,3,2,log2,42,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9385927566814544,0.05260520457922015,0.8660780947802864,0.08238513321560828,0.8642876949778838
32,25,15,3,2,log2,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9402046319672515,0.05191019792082389,0.8670250222041962,0.0820933544600872,0.8641576372382489
371,1200,15,3,2,log2,42,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9387948967924157,0.052518550410455285,0.8658071860225547,0.08246841898702655,0.8640131644453162
379,1200,18,3,2,log2,42,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9385564494945016,0.05262075376089918,0.865671803983848,0.08251000812976363,0.8638759724863059
331,1000,18,3,2,log2,42,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9382717538105626,0.052742520717126665,0.86554410225864,0.0825492186889174,0.8637465635187822
307,1000,8,3,2,log2,42,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9313152735630115,0.05563511620986583,0.8652726445552547,0.08263250742044201,0.8634714767017153
