,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,random_state,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
284,200,3,3,2,log2,42,1,['rdvi_skewness'],0.8007270209019577,0.09476394234913932,0.8664644618176944,0.08226620610227482,0.8661111931981645
644,1200,3,3,2,log2,42,1,['rdvi_skewness'],0.8009545564272089,0.09470982482130517,0.8653520171300072,0.0826081629911577,0.864995805535113
554,1000,3,3,2,log2,42,1,['rdvi_skewness'],0.8008824327212672,0.0947269822220499,0.8652094522681979,0.08265188405318595,0.8648528635175847
464,700,3,3,2,log2,42,1,['rdvi_skewness'],0.8006975370687289,0.09477095258440676,0.8650662136608523,0.08269578845671259,0.8647092459721244
194,100,3,3,2,log2,42,1,['rdvi_skewness'],0.800691060252915,0.09477249247761382,0.8649735139551541,0.08272418964256677,0.8646163010291095
374,500,3,3,2,log2,42,1,['rdvi_skewness'],0.8007827648379371,0.09475068695285027,0.8649144021535575,0.08274229513047196,0.8645570328470855
104,50,3,3,2,log2,42,1,['rdvi_skewness'],0.799367115728859,0.09508674291177192,0.8622044589032314,0.08356811785947063,0.8618399204347214
240,100,15,3,2,log2,42,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9474203477328831,0.04867744423386111,0.8551070493433622,0.08569326043246218,0.8491361859921271
35,25,8,3,2,log2,42,10,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_q3_4']",0.9328387373525787,0.05501464809401283,0.8530357722920099,0.08630358911312064,0.8490530018934194
63,25,15,3,2,log2,42,12,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q3_3', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4']",0.9424190245013295,0.05093993918919223,0.8538017969194914,0.08607837428198688,0.8490214742029625
211,100,8,3,2,log2,42,14,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9426971856080402,0.050816750378586836,0.8545367443027726,0.0858617410336977,0.8489573317554817
330,200,15,3,2,log2,42,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9482516029368018,0.048291129568502386,0.8535908127749012,0.08614046336461058,0.8475574671474932
316,200,12,3,2,log2,42,14,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9475770074501648,0.04860487354334643,0.8530991105142309,0.08628498967201098,0.8474645558490234
226,100,12,3,2,log2,42,14,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9463634733264148,0.04916422939875726,0.8530975632957863,0.08628544406468502,0.8474629492852137
