,kernel,C,epsilon,gamma,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
22,rbf,1,0.001,scale,8,"['gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_homo_skewness_4', 'tex_mean_cv_4', 'tex_var_kurtosis_4']",0.8750461438037025,0.0750401588679102,0.8067473699418808,0.09896593800694084,0.8025801973260723
82,rbf,10,0.001,scale,8,"['clsi_cv', 'gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'ref_kurtosis_3', 'tex_cont_q1_4', 'tex_homo_skewness_4', 'tex_var_kurtosis_4']",0.9133867224653448,0.062475702707962155,0.8067319401661007,0.09896988877271759,0.8025644348327552
7,rbf,1,0.0001,scale,8,"['gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_homo_skewness_4', 'tex_mean_cv_4', 'tex_var_kurtosis_4']",0.8748890112669411,0.07508732646346522,0.8067049260470309,0.09897680530859819,0.8025368381989885
67,rbf,10,0.0001,scale,8,"['clsi_cv', 'gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'ref_kurtosis_3', 'tex_cont_q1_4', 'tex_homo_skewness_4', 'tex_var_kurtosis_4']",0.9130799863766245,0.06258623204334522,0.8064965837798344,0.09903013180577859,0.8023240033761649
97,rbf,10,0.01,scale,8,"['clsi_cv', 'gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'ref_kurtosis_3', 'tex_cont_q1_4', 'tex_homo_skewness_4', 'tex_var_kurtosis_4']",0.9175016232147125,0.06097356876599374,0.8046871143198818,0.09949207464734593,0.8004755157068335
39,rbf,1,0.01,scale,6,"['gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'tex_cont_q1_4', 'tex_homo_skewness_4', 'tex_var_kurtosis_4']",0.8731347316318572,0.0756119231681244,0.8026525278630976,0.1000089396404556,0.7994780376946755
37,rbf,1,0.01,scale,8,"['gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_homo_skewness_4', 'tex_mean_cv_4', 'tex_var_kurtosis_4']",0.8761916171722784,0.07469541398039976,0.803557296451407,0.09977942340958357,0.7993213351889037
36,rbf,1,0.01,scale,9,"['gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'tex_cont_mean_4', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_homo_skewness_4', 'tex_mean_cv_4', 'tex_var_kurtosis_4']",0.8783724873068197,0.07403461560425048,0.8035941977977845,0.09977005129260479,0.7988167593658387
323,linear,1,0.0001,scale,7,"['gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_mean_mean_4', 'tex_mean_q3_1']",0.7613770285433906,0.10369911209651371,0.8023073477913572,0.10009636414754307,0.7985873247659256
383,linear,10,0.0001,scale,7,"['gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_mean_mean_4', 'tex_mean_q3_1']",0.7613197151091097,0.1037115647857458,0.8021165224820225,0.1001446621300709,0.7983929086577595
