,kernel,C,epsilon,gamma,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
55,rbf,10,0.01,scale,1,['rdvi_skewness'],0.75549959928327,0.10496842979870166,0.869531342040764,0.08131602417149521,0.8691861868609776
79,rbf,100,0.001,scale,1,['rdvi_skewness'],0.7545228256096783,0.1051778940794461,0.8694862946030022,0.08133006111515015,0.8691410202501001
71,rbf,100,0.0001,scale,1,['rdvi_skewness'],0.754658470293276,0.1051488306978541,0.8690781073748316,0.08145714346127314,0.8687317531615375
87,rbf,100,0.01,scale,1,['rdvi_skewness'],0.7539138975040857,0.10530826487118372,0.8690358808602655,0.0814702786744951,0.8686894149366154
23,rbf,1,0.01,scale,1,['rdvi_skewness'],0.7554730116535628,0.10497413691792706,0.8668593131432476,0.08214448955876383,0.866507089103944
47,rbf,10,0.001,scale,1,['rdvi_skewness'],0.7536895560521196,0.10535625544621892,0.8662822985705936,0.08232229893025726,0.8659285480377116
39,rbf,10,0.0001,scale,1,['rdvi_skewness'],0.7542422643849465,0.10523798197171487,0.8662711211372072,0.08232573950983142,0.8659173410343955
15,rbf,1,0.001,scale,1,['rdvi_skewness'],0.7534507087383839,0.10540732506542078,0.8651106147132487,0.08268218147864291,0.8647537644876224
54,rbf,10,0.01,scale,2,"['rdvi_skewness', 'tex_dis_cv_1']",0.8014409089927998,0.09459404588818492,0.8649241892432751,0.08273929769422732,0.8642076066928415
7,rbf,1,0.0001,scale,1,['rdvi_skewness'],0.7530810828743065,0.10548630862625673,0.8643634728623574,0.082910850368669,0.8640046460709879
46,rbf,10,0.001,scale,2,"['rdvi_skewness', 'tex_dis_cv_1']",0.8029590049701173,0.09423173969695657,0.8601731262111239,0.08418183003807617,0.8594313390822704
86,rbf,100,0.01,scale,2,"['rdvi_skewness', 'tex_dis_cv_1']",0.8085606034115609,0.0928826444122835,0.8596559058708824,0.08433738084067778,0.8589113748675449
