,kernel,C,epsilon,gamma,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
104,rbf,10,0.01,scale,1,['rdvi_skewness'],0.75549959928327,0.10496842979870166,0.869531342040764,0.08131602417149521,0.8691861868609776
149,rbf,100,0.001,scale,1,['rdvi_skewness'],0.7545228256096783,0.1051778940794461,0.8694862946030022,0.08133006111515015,0.8691410202501001
134,rbf,100,0.0001,scale,1,['rdvi_skewness'],0.754658470293276,0.1051488306978541,0.8690781073748316,0.08145714346127314,0.8687317531615375
44,rbf,1,0.01,scale,1,['rdvi_skewness'],0.7554730116535628,0.10497413691792706,0.8668593131432476,0.08214448955876383,0.866507089103944
29,rbf,1,0.001,scale,1,['rdvi_skewness'],0.7534507087383839,0.10540732506542078,0.8651106147132487,0.08268218147864291,0.8647537644876224
14,rbf,1,0.0001,scale,1,['rdvi_skewness'],0.7530810828743065,0.10548630862625673,0.8643634728623574,0.082910850368669,0.8640046460709879
157,rbf,100,0.01,scale,8,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_skewness_1', 'ref_skewness_3', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_q3_4']",0.9731700328292331,0.03477194497843706,0.8318434733036715,0.09231662163185386,0.8282174565555027
31,rbf,1,0.01,scale,14,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_q3_4']",0.8977018134884283,0.06789735878898459,0.8318199741591014,0.0923230718300595,0.8253692334419163
37,rbf,1,0.01,scale,8,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_skewness_4', 'tex_cor_q3_4']",0.8727966046526229,0.07571261825579008,0.828772683566978,0.09315572793657463,0.8250804503285301
179,rbf,100,0.1,scale,1,['rdvi_skewness'],0.7441875983436408,0.10736919836863897,0.8232907533352184,0.09463519393171094,0.822823268555682
32,rbf,1,0.01,scale,13,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_q3_4']",0.8971349400919141,0.06808522151691997,0.8279453855394078,0.09338050131483087,0.8218341560640315
16,rbf,1,0.001,scale,14,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_q3_4']",0.8950330024144261,0.06877732818708257,0.8266032662006837,0.09374400310038729,0.8199524325755044
1,rbf,1,0.0001,scale,14,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_q3_4']",0.8949459488619518,0.06880584224396862,0.8257002296449827,0.0939877918030731,0.8190147590012287
39,rbf,1,0.01,scale,6,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_3', 'tex_mean_skewness_4', 'tex_cor_q3_4']",0.8622416034654041,0.07879124313597878,0.8211064158680563,0.09521829954156608,0.8182287710830921
7,rbf,1,0.0001,scale,8,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_skewness_4', 'tex_cor_q3_4']",0.8679980456910877,0.07712747144417023,0.8208715617499216,0.09528078103095684,0.8170089539170358
30,rbf,1,0.01,scale,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.8947911320557942,0.06885652272213792,0.8240619600133765,0.09442846140682483,0.8168117660578837
22,rbf,1,0.001,scale,8,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_skewness_4', 'tex_cor_q3_4']",0.8682199906690845,0.07706260400879235,0.8206112515911812,0.09534998710238143,0.8167430306012337
67,rbf,10,0.0001,scale,8,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_mean_skewness_4', 'tex_cor_q3_4']",0.917226108442592,0.06107529874652652,0.8203576520487769,0.09541736081828395,0.8164839626050847
17,rbf,1,0.001,scale,13,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_q3_4']",0.8952703817199235,0.06869951537173018,0.822363163957269,0.0948832502889404,0.8160536588519262
82,rbf,10,0.001,scale,8,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_mean_skewness_4', 'tex_cor_q3_4']",0.9175384292404056,0.06095996580076258,0.8199138011846051,0.09553516419566707,0.8160305408327906
38,rbf,1,0.01,scale,7,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_skewness_4', 'tex_cor_q3_4']",0.8715756653828066,0.07607510759159668,0.8191259333857903,0.09574391682365586,0.8157223891215444
33,rbf,1,0.01,scale,12,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_q3_4']",0.8946873763842315,0.0688904670766889,0.8215522079219415,0.09509958640068174,0.8157174027313783
15,rbf,1,0.001,scale,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.8932607660619256,0.06935550748778935,0.8227336927319288,0.09478424118788742,0.8154287624873654
2,rbf,1,0.0001,scale,13,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_q3_4']",0.8950810322376286,0.06876159114136268,0.8216868170485246,0.09506371123760908,0.8153532886923247
24,rbf,1,0.001,scale,6,"['rdvi_skewness', 'ref_q3_3', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_skewness_4', 'tex_cor_q3_4']",0.8655309238463426,0.07784489257947695,0.8180990139540113,0.09601532700850345,0.8151729927307514
0,rbf,1,0.0001,scale,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.8932048243107897,0.06937367962643326,0.822062088017568,0.09496362486123153,0.8147294817545556
9,rbf,1,0.0001,scale,6,"['rdvi_skewness', 'ref_q3_3', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_skewness_4', 'tex_cor_q3_4']",0.8655366807825927,0.07784322620050915,0.8167571602371061,0.096368820943388,0.8138095542355582
23,rbf,1,0.001,scale,7,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_skewness_4', 'tex_cor_q3_4']",0.8685253568001218,0.07697326588503905,0.81682944394133,0.09634981179014564,0.8133826861660324
10,rbf,1,0.0001,scale,5,"['rdvi_skewness', 'ref_q3_3', 'ref_skewness_3', 'tex_mean_skewness_4', 'tex_cor_q3_4']",0.8602061147645916,0.07937120993160203,0.814644106961109,0.09692286379135677,0.812166087000696
