,n_estimators,learning_rate,max_depth,objective,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
97,50,0.1,3,reg:squarederror,7,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9250440377961859,0.05811951812777224,0.8856709010695105,0.0761204643777621,0.8835195470573777
128,50,0.15,2,reg:squarederror,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8976136784724826,0.06792660098110181,0.8831362703505319,0.07695961917361545,0.8806162977435352
57,50,0.07,3,reg:squarederror,7,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9077088044980599,0.06449099076083017,0.8827701648469761,0.07708007274847112,0.8805642270887203
216,100,0.05,3,reg:squarederror,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9278545151959945,0.057019511355075214,0.8814485185182265,0.07751335440820763,0.8788921523407219
248,100,0.07,2,reg:squarederror,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8967232446291673,0.068221333751664,0.8812838288365988,0.0775671758329648,0.8787239113991131
88,50,0.1,2,reg:squarederror,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8822161838310345,0.07285539610548256,0.8806008359982034,0.0777899839223282,0.8780261909523426
96,50,0.1,3,reg:squarederror,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9274985387488176,0.05716000959184401,0.8801861787893188,0.07792494391583511,0.8776025923481181
208,100,0.05,2,reg:squarederror,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8802125277055535,0.07347246547442186,0.8799412404744282,0.07800455517984207,0.8773523723444967
218,100,0.05,3,reg:squarederror,6,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9234783187982832,0.058723396209285184,0.8789870417251994,0.07831392261949915,0.8770404525840497
256,100,0.07,3,reg:squarederror,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.941906934602414,0.05116595209290867,0.879260358453656,0.07822543372950312,0.8766568082316324
133,50,0.15,2,reg:squarederror,3,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_kurtosis_4']",0.8807758607284406,0.07329949979891087,0.8774683189094508,0.07880381353042129,0.8764906725177708
288,100,0.1,2,reg:squarederror,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9137924300556118,0.06232920889532077,0.8789115816121691,0.07833833594086781,0.8763005105957199
170,50,0.2,2,reg:squarederror,6,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9112650209329094,0.06323628363009168,0.8777704912492461,0.07870658548544601,0.8758043329315396
98,50,0.1,3,reg:squarederror,6,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9235444408990204,0.05869801939173264,0.8774787250050279,0.07880046722267658,0.8755078733965297
