,n_estimators,learning_rate,max_depth,objective,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
1214,1000,0.07,1,reg:squarederror,1,['rdvi_skewness'],0.8138347690121217,0.09159424767997912,0.864308538228893,0.0829276386785299,0.8639495661078054
689,100,0.2,1,reg:squarederror,1,['rdvi_skewness'],0.8051813411913065,0.09369883426036725,0.8640995825893999,0.08299146558265169,0.8637400576756152
1139,1000,0.05,1,reg:squarederror,1,['rdvi_skewness'],0.8107920717040884,0.09233972532517427,0.8639097886042446,0.08304939691831409,0.8635497615899701
914,500,0.1,1,reg:squarederror,1,['rdvi_skewness'],0.8109433181155483,0.09230281132180823,0.8638631826996865,0.08306361638678082,0.8635030323893682
1064,500,0.2,1,reg:squarederror,1,['rdvi_skewness'],0.818315298318576,0.09048531303542817,0.8638610573514698,0.08306426477280691,0.8635009014185372
839,500,0.07,1,reg:squarederror,1,['rdvi_skewness'],0.8082541538555705,0.092956956345381,0.8638344458569794,0.08307238278874841,0.8634742195232677
989,500,0.15,1,reg:squarederror,1,['rdvi_skewness'],0.8149079981641483,0.09132984894791443,0.8630687341774087,0.08330562944021772,0.862706482151423
1289,1000,0.1,1,reg:squarederror,1,['rdvi_skewness'],0.8177297488739587,0.09063100775514385,0.8629890163924056,0.08332987508621169,0.8626265534728087
764,500,0.05,1,reg:squarederror,1,['rdvi_skewness'],0.8062243458389406,0.09344767897048636,0.8629531890210703,0.08334076945086027,0.8625906313200679
314,50,0.2,1,reg:squarederror,1,['rdvi_skewness'],0.8013440916338921,0.09461710509316827,0.8626552800916781,0.08343130231795275,0.8622919342718148
614,100,0.15,1,reg:squarederror,1,['rdvi_skewness'],0.8033798522653433,0.09413105412459594,0.8615814813854066,0.08375681173331141,0.8612152948282251
539,100,0.1,1,reg:squarederror,1,['rdvi_skewness'],0.8012468273516415,0.0946402650855113,0.8610541330461793,0.08391620885393965,0.8606865513875712
1364,1000,0.15,1,reg:squarederror,1,['rdvi_skewness'],0.8236886388676224,0.08913721527538956,0.8599389456291634,0.08425229397045247,0.8595684137392935
464,100,0.07,1,reg:squarederror,1,['rdvi_skewness'],0.7992631336801792,0.0951113800335052,0.8597326738443218,0.08431431148579167,0.8593615962618995
239,50,0.15,1,reg:squarederror,1,['rdvi_skewness'],0.7997445386617821,0.0949972640330692,0.859271062759119,0.08445293411907652,0.8588987639833495
1439,1000,0.2,1,reg:squarederror,1,['rdvi_skewness'],0.8288783596238392,0.08781554085370942,0.8575069589956932,0.08498061431787501,0.8571299932787506
404,100,0.05,2,reg:squarederror,1,['rdvi_skewness'],0.815518341014885,0.09117914403192305,0.8567529922029862,0.08520514468168311,0.8563740318648988
179,50,0.1,2,reg:squarederror,1,['rdvi_skewness'],0.8157209367366182,0.09112906431409193,0.8561916987121422,0.0853719137346547,0.8558112534706399
479,100,0.07,2,reg:squarederror,1,['rdvi_skewness'],0.8269811110208136,0.08830101029285344,0.8544196491908953,0.08589629260351207,0.8540345159876966
476,100,0.07,2,reg:squarederror,4,"['rdvi_skewness', 'ref_q3_3', 'ref_skewness_3', 'tex_mean_skewness_4']",0.8906825877846674,0.07018811586377348,0.8554845605821588,0.08558155289965126,0.8539430625617018
320,50,0.2,2,reg:squarederror,10,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_cor_cv_3']",0.9168960188326521,0.06119695705005996,0.8566282614126128,0.08524223234138423,0.8527428484427649
554,100,0.1,2,reg:squarederror,1,['rdvi_skewness'],0.8356640190822776,0.08605681008927978,0.8531196065613471,0.08627897009339962,0.8527310340919327
389,100,0.05,1,reg:squarederror,1,['rdvi_skewness'],0.7952412177193583,0.09605946912263137,0.852949690959413,0.08632886070651315,0.8525606689778241
104,50,0.07,2,reg:squarederror,1,['rdvi_skewness'],0.8032548263556245,0.09416097717808018,0.8526433968171641,0.08641872202565916,0.8522535645336116
