,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,random_state,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
239,25,15,3,2,log2,42,26,"['rdvi_skewness', 'mcari2_cv', 'ngrdvi_q1', 'ngrdvi_skewness', 'ref_q1_22', 'ref_q1_42', 'ref_q1_70', 'ref_skewness_23', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_21', 'tex_ent_cv_28', 'tex_ent_cv_44', 'tex_ent_cv_46', 'tex_ent_cv_50', 'tex_homo_cv_0', 'tex_homo_cv_50', 'tex_homo_kurtosis_52', 'tex_asm_q3_22', 'tex_asm_q3_47', 'tex_mean_q3_52', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48', 'tex_var_skewness_50']",0.9659438405002347,0.04173449607445665,0.8847338809933583,0.06982484748906023,0.8692058027852096
130,25,8,3,2,log2,42,29,"['rdvi_skewness', 'mcari2_cv', 'ngrdvi_q1', 'ngrdvi_skewness', 'ref_q1_22', 'ref_q1_42', 'ref_q1_70', 'ref_skewness_23', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_q3_52', 'tex_ent_cv_21', 'tex_ent_cv_28', 'tex_ent_cv_44', 'tex_ent_cv_46', 'tex_homo_cv_0', 'tex_homo_cv_50', 'tex_homo_skewness_50', 'tex_homo_kurtosis_70', 'tex_asm_cv_44', 'tex_asm_q3_47', 'tex_mean_q3_52', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48', 'tex_var_skewness_50', 'tex_cor_kurtosis_67', 'tex_cor_kurtosis_79']",0.9692028352795052,0.03968740529728676,0.8855033598442431,0.06959139331666296,0.8680275568731013
399,50,5,3,2,log2,42,25,"['rdvi_skewness', 'mcari2_cv', 'ngrdvi_q1', 'ngrdvi_skewness', 'ref_q1_22', 'ref_q1_42', 'ref_q1_70', 'ref_skewness_23', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_21', 'tex_ent_cv_44', 'tex_ent_cv_46', 'tex_ent_cv_50', 'tex_homo_cv_1', 'tex_homo_cv_45', 'tex_homo_kurtosis_52', 'tex_asm_q3_22', 'tex_asm_q3_47', 'tex_mean_q3_52', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48', 'tex_var_skewness_50']",0.9681731183556417,0.04034543319640131,0.8814926055785826,0.07079977624987559,0.8662210341325236
150,25,8,3,2,log2,42,9,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_mean_q3_52', 'tex_var_cv_23', 'tex_var_cv_50']",0.970221985418829,0.0390252062937169,0.8703998798688242,0.07403922470902566,0.8648455890060595
834,100,12,3,2,log2,42,14,"['rdvi_skewness', 'mcari2_cv', 'ngrdvi_q1', 'ngrdvi_skewness', 'ref_q1_70', 'ref_skewness_48', 'tex_ent_cv_44', 'tex_ent_cv_46', 'tex_asm_q3_47', 'tex_mean_q3_52', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48', 'tex_var_skewness_50']",0.9687019431630026,0.04000884608148182,0.8734510856609986,0.07316247222625487,0.8648087207793107
1148,200,12,3,2,log2,42,18,"['rdvi_skewness', 'mcari2_cv', 'ngrdvi_q1', 'ngrdvi_skewness', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_ent_cv_46', 'tex_ent_cv_50', 'tex_homo_cv_45', 'tex_asm_q3_47', 'tex_mean_q3_52', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48', 'tex_var_skewness_50']",0.9719724647116007,0.03786080052433394,0.8737058968894751,0.07308877734947171,0.8623959772079355
830,100,12,3,2,log2,42,18,"['rdvi_skewness', 'mcari2_cv', 'ngrdvi_q1', 'ngrdvi_skewness', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_21', 'tex_ent_cv_44', 'tex_ent_cv_46', 'tex_homo_cv_50', 'tex_asm_q3_47', 'tex_mean_q3_52', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48', 'tex_var_skewness_50']",0.9729129933714575,0.03722012654719787,0.8732470883143842,0.07322141757698065,0.861896081297762
1839,700,15,3,2,log2,42,16,"['rdvi_skewness', 'mcari2_cv', 'ngrdvi_q1', 'ngrdvi_skewness', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_ent_cv_46', 'tex_homo_cv_45', 'tex_mean_q3_52', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48', 'tex_var_skewness_50']",0.9733343993696116,0.03692946564124971,0.8713709471844248,0.07376132274576087,0.8612326967162021
1521,500,15,3,2,log2,42,16,"['rdvi_skewness', 'mcari2_cv', 'ngrdvi_q1', 'ngrdvi_skewness', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_ent_cv_46', 'tex_homo_cv_45', 'tex_mean_q3_52', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48', 'tex_var_skewness_50']",0.9735638760617488,0.03677021997489599,0.8713542204425788,0.07376611849940054,0.8612146516104668
620,50,18,3,2,log2,42,16,"['rdvi_skewness', 'mcari2_cv', 'ngrdvi_q1', 'ngrdvi_skewness', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_ent_cv_46', 'tex_asm_q3_47', 'tex_mean_q3_52', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48', 'tex_var_skewness_50']",0.970118421819387,0.03909300938554113,0.8711838189727563,0.07381495684983959,0.8610308194829243
69,25,5,3,2,log2,42,37,"['rdvi_skewness', 'mcari2_cv', 'ngrdvi_q1', 'ngrdvi_skewness', 'ref_q1_22', 'ref_q1_42', 'ref_q1_70', 'ref_skewness_23', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_21', 'tex_ent_cv_28', 'tex_ent_cv_44', 'tex_ent_cv_50', 'tex_homo_cv_0', 'tex_homo_cv_1', 'tex_homo_cv_45', 'tex_homo_cv_50', 'tex_homo_q1_23', 'tex_homo_skewness_20', 'tex_homo_kurtosis_52', 'tex_homo_kurtosis_70', 'tex_asm_cv_44', 'tex_asm_cv_48', 'tex_asm_q3_22', 'tex_asm_q3_47', 'tex_dis_skewness_20', 'tex_dis_skewness_60', 'tex_dis_kurtosis_45', 'tex_mean_q3_52', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_22', 'tex_var_q1_48', 'tex_var_skewness_50', 'tex_cor_kurtosis_79']",0.9626721239043405,0.04369321263667828,0.8840577912751351,0.07002932578717544,0.8604871224684317
1892,700,18,3,2,log2,42,16,"['rdvi_skewness', 'mcari2_cv', 'ngrdvi_q1', 'ngrdvi_skewness', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_ent_cv_46', 'tex_homo_cv_45', 'tex_mean_q3_52', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48', 'tex_var_skewness_50']",0.9733881453686818,0.036892230174722415,0.870619385678821,0.0739764974237647,0.8604218988357725
832,100,12,3,2,log2,42,16,"['rdvi_skewness', 'mcari2_cv', 'ngrdvi_q1', 'ngrdvi_skewness', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_ent_cv_46', 'tex_asm_q3_47', 'tex_mean_q3_52', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48', 'tex_var_skewness_50']",0.9725486906803323,0.03746958388339294,0.8703308457802166,0.07405894131856794,0.8601106168761943
1150,200,12,3,2,log2,42,16,"['rdvi_skewness', 'mcari2_cv', 'ngrdvi_q1', 'ngrdvi_skewness', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_ent_cv_46', 'tex_homo_cv_45', 'tex_mean_q3_52', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48', 'tex_var_skewness_50']",0.9737483855431706,0.036641677423438664,0.8702929928917127,0.0740697501354673,0.8600697805087935
1044,200,5,3,2,log2,42,16,"['rdvi_skewness', 'mcari2_cv', 'ngrdvi_q1', 'ngrdvi_skewness', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_ent_cv_46', 'tex_homo_cv_45', 'tex_mean_q3_52', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48', 'tex_var_skewness_50']",0.9676566121846062,0.04067149088149984,0.8700556598493869,0.07413748419796541,0.8598137414138707
885,100,15,3,2,log2,42,16,"['rdvi_skewness', 'mcari2_cv', 'ngrdvi_q1', 'ngrdvi_skewness', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_21', 'tex_ent_cv_46', 'tex_asm_q3_47', 'tex_mean_q3_52', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48', 'tex_var_skewness_50']",0.970267050190528,0.0389956655753083,0.8699480308288875,0.07416818077627681,0.8596976293178639
1415,500,8,3,2,log2,42,16,"['rdvi_skewness', 'mcari2_cv', 'ngrdvi_q1', 'ngrdvi_skewness', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_ent_cv_46', 'tex_homo_cv_45', 'tex_mean_q3_52', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48', 'tex_var_skewness_50']",0.9728670792862175,0.03725165835349576,0.8693634572267186,0.07433468401627016,0.8590669809490216
