,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,random_state,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
92,25,12,3,2,log2,42,4,"['mcari2_skewness', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54']",0.9497020751822213,0.0507191973510909,0.8951199548845863,0.06660480990846845,0.8931686982312763
68,25,8,3,2,log2,42,4,"['mcari2_skewness', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54']",0.9496564307005156,0.05074220552195543,0.8629452885693918,0.07613882058768173,0.8603954334730084
90,25,12,3,2,log2,42,6,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54']",0.9637270780282606,0.04307136239572342,0.8546488021925704,0.07840946090525673,0.850554402254333
66,25,8,3,2,log2,42,6,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54']",0.955983661268366,0.04744651253787834,0.8534430516645756,0.07873400928264157,0.8493146869227326
208,50,8,3,2,log2,42,8,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9616657920365033,0.044278264033531994,0.8502378749743413,0.07959030285999989,0.8445596901392453
64,25,8,3,2,log2,42,8,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9640505966095985,0.04287885521861571,0.8496099886578898,0.07975697180994874,0.8439079977065302
43,25,5,3,2,log2,42,5,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9519228249721053,0.04958688290791943,0.8428642246778577,0.0815261055349346,0.8391928280581815
136,25,18,3,2,log2,42,8,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_var_cv_39', 'tex_cor_kurtosis_62']",0.9651949351270603,0.04219087789676769,0.8446318671261682,0.08106625934215603,0.8387411322304779
398,100,15,3,2,log2,42,10,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_asm_cv_29', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9638833612309439,0.04297847497033656,0.8459875812212563,0.08071179968621278,0.8386185659686848
331,100,5,3,2,log2,42,5,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54']",0.9551265527848809,0.04790623661700912,0.8421287945941505,0.08171666290952846,0.8384402150285932
30,25,5,3,2,log2,42,18,"['mcari2_skewness', 'mcariosavi_kurtosis', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_cont_kurtosis_23', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_asm_cv_29', 'tex_dis_cv_40', 'tex_dis_skewness_54', 'tex_mean_kurtosis_45', 'tex_var_cv_39', 'tex_var_kurtosis_49', 'tex_cor_cv_47', 'tex_cor_kurtosis_62']",0.9497311523930216,0.05070453485754497,0.8509184187375319,0.07940926123238125,0.8375678293707438
42,25,5,3,2,log2,42,6,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9483242777235874,0.05140917282724661,0.8408667583972528,0.08204263780662988,0.8363841318732317
182,50,5,3,2,log2,42,10,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_asm_cv_29', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9531680260865707,0.048940518927345564,0.8435824807266683,0.08133956721741253,0.8360983888954084
569,200,18,3,2,log2,42,7,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9606979785828276,0.044833720740365346,0.8410414945250773,0.08199758200866634,0.8357928646273204
70,25,8,3,2,log2,42,2,"['mcari2_skewness', 'tex_homo_cv_48']",0.9461601033381015,0.0524746375100596,0.8364650465916886,0.08316957001208793,0.8349578119980636
18,25,3,3,2,log2,42,6,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54']",0.9164103617680097,0.06538431243998484,0.8394550759218045,0.08240573739565955,0.8349326836942497
521,200,12,3,2,log2,42,7,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9613767011585764,0.044444908923117005,0.8401642526233299,0.08222353011175974,0.8348866571910813
499,200,8,3,2,log2,42,5,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54']",0.9616209805069561,0.04430413645036857,0.8380347225850656,0.08276945965746602,0.8342504871314457
643,500,8,3,2,log2,42,5,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54']",0.9626023021848846,0.04373405758002732,0.8380176573296019,0.0827738199894831,0.8342330231550599
473,200,5,3,2,log2,42,7,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9505307589751942,0.0502996498741642,0.8393226468034858,0.08243971750962417,0.8340172624998273
232,50,12,3,2,log2,42,8,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54']",0.9659358841798208,0.041739370870035104,0.839947091198042,0.08227936780278289,0.8338787344662142
812,700,12,3,2,log2,42,4,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_dis_skewness_54']",0.9637464136482263,0.04305988106938562,0.8368288514311094,0.08307700772460541,0.8337931091321533
