,kernel,C,epsilon,gamma,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
464,rbf,100,0.0001,scale,13,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_21', 'tex_ent_cv_46', 'tex_ent_cv_50', 'tex_homo_kurtosis_52', 'tex_var_cv_23', 'tex_cor_kurtosis_67', 'tex_cor_kurtosis_79']",0.9999984343480203,0.0002829729706979606,0.8948939497007644,0.066676534379986,0.8882610436139194
517,rbf,100,0.001,scale,13,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_21', 'tex_ent_cv_46', 'tex_ent_cv_50', 'tex_homo_kurtosis_52', 'tex_var_cv_23', 'tex_cor_kurtosis_67', 'tex_cor_kurtosis_79']",0.9999771265986567,0.0010815901251246137,0.8938933873951719,0.06699314796289095,0.887197339026906
516,rbf,100,0.001,scale,14,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_21', 'tex_ent_cv_46', 'tex_ent_cv_50', 'tex_homo_kurtosis_52', 'tex_homo_kurtosis_70', 'tex_var_cv_23', 'tex_cor_kurtosis_67', 'tex_cor_kurtosis_79']",0.9999770383142853,0.0010836754193498002,0.8869922725588437,0.06913742989885953,0.8792746716604233
463,rbf,100,0.0001,scale,14,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_21', 'tex_ent_cv_46', 'tex_ent_cv_50', 'tex_homo_kurtosis_52', 'tex_homo_kurtosis_70', 'tex_var_cv_23', 'tex_cor_kurtosis_67', 'tex_cor_kurtosis_79']",0.9999984088446131,0.0002852683795222764,0.8864841168844293,0.06929269879938026,0.8787318126716586
305,rbf,10,0.001,scale,13,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_21', 'tex_ent_cv_46', 'tex_ent_cv_50', 'tex_homo_kurtosis_52', 'tex_var_cv_23', 'tex_cor_kurtosis_67', 'tex_cor_kurtosis_79']",0.999770909480088,0.0034229526953192015,0.8852014282926112,0.06968309034522592,0.877956858233407
252,rbf,10,0.0001,scale,13,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_21', 'tex_ent_cv_46', 'tex_ent_cv_50', 'tex_homo_kurtosis_52', 'tex_var_cv_23', 'tex_cor_kurtosis_67', 'tex_cor_kurtosis_79']",0.9997499631399485,0.003576015203865751,0.884460663824897,0.06990755199852358,0.8771693464934585
304,rbf,10,0.001,scale,14,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_21', 'tex_ent_cv_46', 'tex_ent_cv_50', 'tex_homo_kurtosis_52', 'tex_homo_kurtosis_70', 'tex_var_cv_23', 'tex_cor_kurtosis_67', 'tex_cor_kurtosis_79']",0.9999039006890822,0.002216958049100161,0.8824771844705322,0.07050505474117826,0.8744512360929101
251,rbf,10,0.0001,scale,14,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_21', 'tex_ent_cv_46', 'tex_ent_cv_50', 'tex_homo_kurtosis_52', 'tex_homo_kurtosis_70', 'tex_var_cv_23', 'tex_cor_kurtosis_67', 'tex_cor_kurtosis_79']",0.99990451571525,0.0022098525050800615,0.8808742724326561,0.07098424107771316,0.8727388568914717
303,rbf,10,0.001,scale,15,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_21', 'tex_ent_cv_46', 'tex_ent_cv_50', 'tex_homo_kurtosis_52', 'tex_homo_kurtosis_70', 'tex_var_cv_23', 'tex_var_kurtosis_50', 'tex_cor_kurtosis_67', 'tex_cor_kurtosis_79']",0.9999771116770206,0.0010819428593473997,0.8802518613125414,0.0711694396161514,0.8714468511149341
515,rbf,100,0.001,scale,15,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_21', 'tex_ent_cv_46', 'tex_ent_cv_50', 'tex_homo_kurtosis_52', 'tex_homo_kurtosis_70', 'tex_var_cv_23', 'tex_var_kurtosis_50', 'tex_cor_kurtosis_67', 'tex_cor_kurtosis_79']",0.9999771116770206,0.0010819428593473997,0.8802518613125414,0.0711694396161514,0.8714468511149341
462,rbf,100,0.0001,scale,15,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_21', 'tex_ent_cv_46', 'tex_ent_cv_50', 'tex_homo_kurtosis_52', 'tex_homo_kurtosis_70', 'tex_var_cv_23', 'tex_var_kurtosis_50', 'tex_cor_kurtosis_67', 'tex_cor_kurtosis_79']",0.9999987449862775,0.00025335038909474547,0.8789053011259359,0.07156846889340619,0.8700012791499018
250,rbf,10,0.0001,scale,15,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_21', 'tex_ent_cv_46', 'tex_ent_cv_50', 'tex_homo_kurtosis_52', 'tex_homo_kurtosis_70', 'tex_var_cv_23', 'tex_var_kurtosis_50', 'tex_cor_kurtosis_67', 'tex_cor_kurtosis_79']",0.9999981146643309,0.0003105215036062407,0.8788274110140036,0.07159148220445175,0.8699176618238569
138,rbf,1,0.01,scale,21,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_46', 'tex_homo_cv_45', 'tex_homo_cv_50', 'tex_homo_skewness_20', 'tex_homo_skewness_50', 'tex_homo_kurtosis_20', 'tex_homo_kurtosis_52', 'tex_homo_kurtosis_70', 'tex_dis_skewness_60', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_kurtosis_50', 'tex_var_kurtosis_73', 'tex_cor_kurtosis_67', 'tex_cor_kurtosis_79']",0.9907610671629307,0.021737432347204322,0.87584258743285,0.07246786841421896,0.8626743770090615
137,rbf,1,0.01,scale,22,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_21', 'tex_ent_cv_46', 'tex_homo_cv_45', 'tex_homo_cv_50', 'tex_homo_skewness_20', 'tex_homo_skewness_50', 'tex_homo_kurtosis_20', 'tex_homo_kurtosis_52', 'tex_homo_kurtosis_70', 'tex_dis_skewness_60', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_kurtosis_50', 'tex_var_kurtosis_73', 'tex_cor_kurtosis_67', 'tex_cor_kurtosis_79']",0.9915138824865185,0.020833002170617905,0.875200454015955,0.07265502609732821,0.861263448880681
244,rbf,10,0.0001,scale,21,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_21', 'tex_ent_cv_46', 'tex_ent_cv_50', 'tex_homo_cv_45', 'tex_homo_cv_50', 'tex_homo_kurtosis_20', 'tex_homo_kurtosis_52', 'tex_homo_kurtosis_70', 'tex_dis_skewness_60', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_kurtosis_50', 'tex_var_kurtosis_73', 'tex_cor_kurtosis_67', 'tex_cor_kurtosis_79']",0.9999984495327446,0.00028159739811932724,0.8736068940828327,0.07311741913235303,0.8602015646673755
456,rbf,100,0.0001,scale,21,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_21', 'tex_ent_cv_46', 'tex_ent_cv_50', 'tex_homo_cv_45', 'tex_homo_cv_50', 'tex_homo_kurtosis_20', 'tex_homo_kurtosis_52', 'tex_homo_kurtosis_70', 'tex_dis_skewness_60', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_kurtosis_50', 'tex_var_kurtosis_73', 'tex_cor_kurtosis_67', 'tex_cor_kurtosis_79']",0.9999984495327446,0.00028159739811932724,0.8736068940828327,0.07311741913235303,0.8602015646673755
302,rbf,10,0.001,scale,16,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_21', 'tex_ent_cv_46', 'tex_ent_cv_50', 'tex_homo_kurtosis_52', 'tex_homo_kurtosis_70', 'tex_var_cv_23', 'tex_var_kurtosis_50', 'tex_var_kurtosis_73', 'tex_cor_kurtosis_67', 'tex_cor_kurtosis_79']",0.9999757040401455,0.0011147163445496054,0.8693855785360294,0.07432839002639059,0.8590908458098051
