,kernel,C,epsilon,gamma,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
140,rbf,10,0.001,scale,4,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51']",0.9751708021564667,0.035635157521633154,0.8350034839520923,0.08354039943216447,0.8319337813279453
116,rbf,10,0.0001,scale,4,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51']",0.9749897803034802,0.03576482396053204,0.8330899724222657,0.08402342391367705,0.8299846695836102
23,rbf,1,0.0001,scale,1,['mcari2_skewness'],0.8831482047330989,0.07730632584173393,0.8180704904825572,0.08772244639425096,0.8172359514480736
255,rbf,100,0.01,scale,9,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9984112605418075,0.00901412714041732,0.8241559811082714,0.08624282239755666,0.8166198088700545
47,rbf,1,0.001,scale,1,['mcari2_skewness'],0.8832945246907031,0.07725790980533671,0.817404335071555,0.08788290246040027,0.8165667402783052
134,rbf,10,0.001,scale,10,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_cv_39', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9998979332307782,0.002284754400072636,0.8237550256059258,0.0863410908657476,0.8153222517114725
159,rbf,10,0.01,scale,9,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9981989998944106,0.00959741352069264,0.8223913739988824,0.08667446859797523,0.8147795757416916
17,rbf,1,0.0001,scale,7,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9842946747206023,0.02834136780295481,0.8206142941756417,0.08710700412366376,0.8146911812474789
41,rbf,1,0.001,scale,7,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9843809036537253,0.02826345761819959,0.8201936746610081,0.08720906758867827,0.8142566733526452
230,rbf,100,0.001,scale,10,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_cv_39', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.999976978790471,0.0010850791217049897,0.822058929356074,0.08675554853313329,0.8135450025310058
143,rbf,10,0.001,scale,1,['mcari2_skewness'],0.887047887993131,0.07600541178914816,0.8133881250532822,0.08884414220849195,0.8125321072782972
119,rbf,10,0.0001,scale,1,['mcari2_skewness'],0.8869127969043329,0.0760508495656029,0.8132730924287535,0.08887152096017358,0.8124165469811789
18,rbf,1,0.0001,scale,6,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_kurtosis_49']",0.9803113358509851,0.031732585857517745,0.8172563343097243,0.08791851147109206,0.8121086254170405
42,rbf,1,0.001,scale,6,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_kurtosis_49']",0.9804636735248982,0.031609584740604275,0.8161594470002909,0.08818197455927076,0.8109808398735385
167,rbf,10,0.01,scale,1,['mcari2_skewness'],0.887604769768208,0.07581781756748229,0.8107795590467405,0.08946294397990864,0.8099115753726429
63,rbf,1,0.01,scale,9,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9883098573522628,0.024451597808100058,0.817057505303359,0.08796632707646077,0.8092171126735029
65,rbf,1,0.01,scale,7,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9847599399776601,0.027918409758430386,0.8152087894874191,0.08840967938326119,0.8091071929138905
111,rbf,10,0.0001,scale,9,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9990698588199782,0.006897183403626226,0.8161238417151179,0.08819051345967234,0.8082434349314801
108,rbf,10,0.0001,scale,12,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_4', 'tex_dis_skewness_54', 'tex_var_cv_39', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9999976499029074,0.00034668914266378336,0.8186726972322378,0.08757714056178877,0.8081609695355559
254,rbf,100,0.01,scale,10,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_cv_39', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9984579201791994,0.008880772921851524,0.8164738431868436,0.08810653978890098,0.8076926873584629
158,rbf,10,0.01,scale,10,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_cv_39', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9984579201791994,0.008880772921851524,0.8164738431868436,0.08810653978890098,0.8076926873584629
71,rbf,1,0.01,scale,1,['mcari2_skewness'],0.8840721443086774,0.07700009124080312,0.8081865589900669,0.09007384015399052,0.8073066808202966
204,rbf,100,0.0001,scale,12,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_4', 'tex_dis_skewness_54', 'tex_var_cv_39', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9999985039655442,0.00027661016543072695,0.8178482188025755,0.08777601731782354,0.8072886952548988
135,rbf,10,0.001,scale,9,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9991405976177192,0.006629726536883846,0.8151715383182759,0.08841858997471966,0.8072503185319163
15,rbf,1,0.0001,scale,9,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9879372303689792,0.024838242070606472,0.8138111178971188,0.08874339364565084,0.8058315943784239
39,rbf,1,0.001,scale,9,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9879951442382428,0.02477854560559468,0.8135892088472456,0.08879626226400883,0.805600174940699
231,rbf,100,0.001,scale,9,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9999772624279586,0.0010783739356940007,0.8109159415945485,0.0894306975072302,0.8028123390914577
21,rbf,1,0.0001,scale,3,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48']",0.9429362949441404,0.05402282881097998,0.8054213435348071,0.09072077687161184,0.8027188621950128
844,linear,100,0.1,scale,4,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_dis_cv_40']",0.8536939666942667,0.08650245958638272,0.80582639379619,0.09062630192103868,0.8022138615877471
66,rbf,1,0.01,scale,6,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_homo_cv_48', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_kurtosis_49']",0.9812734807454138,0.03094752119939777,0.8073830419412369,0.09026230512172101,0.8019572121367646
