,n_estimators,learning_rate,max_depth,objective,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
3274,500,0.1,2,reg:squarederror,12,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9995727202981848,0.004674697030938969,0.9239057990728502,0.05673289437942653,0.9194945410480879
4867,1000,0.15,2,reg:squarederror,9,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_50']",0.9999585738720402,0.0014555747376089106,0.9204644108198072,0.05800159168671277,0.9170557427120847
4069,1000,0.05,2,reg:squarederror,12,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9995485162478456,0.0048052767079309455,0.9199727481102152,0.05818058881686294,0.9153334871310973
4868,1000,0.15,2,reg:squarederror,8,"['rdvi_skewness', 'ngrdvi_q1', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_50']",0.9999502440371438,0.0015952175018818246,0.9169155111192805,0.059281493529514985,0.9137653883181158
2744,500,0.05,2,reg:squarederror,12,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9973765651320633,0.011583304724950762,0.9173142870965427,0.059139057377761366,0.9125209124354727
2482,100,0.2,2,reg:squarederror,9,"['rdvi_skewness', 'ngrdvi_q1', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23']",0.9948927569051436,0.016161832569832786,0.9156719641773745,0.059723486506612175,0.912057905499262
4334,1000,0.07,2,reg:squarederror,12,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.999833752450221,0.0029159157049777284,0.9160466890828741,0.05959064340680678,0.9111798304789828
3275,500,0.1,2,reg:squarederror,11,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9996025668864981,0.004508471855292588,0.9149854632957283,0.05996609336699007,0.9104895022200216
4600,1000,0.1,2,reg:squarederror,11,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9999647119845968,0.001343417358375064,0.914812044232993,0.06002722388779344,0.9103069119568532
3010,500,0.07,2,reg:squarederror,11,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9987040662013992,0.00814120605043109,0.9140147486851411,0.060307474639079,0.9094674517406053
3491,500,0.15,1,reg:squarederror,7,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_var_cv_23']",0.9807292597413246,0.03139399156653389,0.9117341105358323,0.06110202610323438,0.908819670789374
2215,100,0.15,2,reg:squarederror,11,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9933577843648446,0.018431208993528018,0.9124729461843302,0.06084575936304958,0.90784411160754
4335,1000,0.07,2,reg:squarederror,11,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9998524771812816,0.0027467993711844016,0.9123927776278871,0.06087361817947411,0.9077597033678234
3540,500,0.15,2,reg:squarederror,11,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9999155283201195,0.0020785137598278033,0.9119903303686546,0.06101327761368254,0.9073359728400738
2745,500,0.05,2,reg:squarederror,11,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9970733770269361,0.012234345110205882,0.9118711232563408,0.061054584185347587,0.9072104615054742
4865,1000,0.15,2,reg:squarederror,11,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9999661950122869,0.0013148848744906753,0.9118479748949254,0.061062602106591035,0.9071860889518686
4598,1000,0.1,2,reg:squarederror,13,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_cv_44', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9999662117982112,0.0013145583797922928,0.9120234235233885,0.06100180551245087,0.9064715036486509
4816,1000,0.15,1,reg:squarederror,7,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_var_cv_23']",0.9874066638212519,0.02537860444858837,0.9094309168597218,0.06189408486154796,0.9064404282654673
2481,100,0.2,2,reg:squarederror,10,"['rdvi_skewness', 'ngrdvi_q1', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9959837667649045,0.014332000056989156,0.9106500989532449,0.0614760844247721,0.906374984070625
4070,1000,0.05,2,reg:squarederror,11,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9994955730297712,0.0050792137278779185,0.9103889042442469,0.06156587473217279,0.90564985591101
4815,1000,0.15,1,reg:squarederror,8,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_var_cv_23', 'tex_var_cv_50']",0.9897159313427554,0.022934000733186008,0.9089833162365433,0.062046839452876174,0.9055324467099667
1949,100,0.1,2,reg:squarederror,12,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_cv_44', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9880856426541506,0.024684972584586327,0.9105877692734625,0.06149752326572221,0.905404451550185
3490,500,0.15,1,reg:squarederror,8,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_var_cv_23', 'tex_var_cv_50']",0.9835959308732944,0.02896497338271303,0.9086908371840616,0.062146452207510694,0.9052288784043104
4551,1000,0.1,1,reg:squarederror,7,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_var_cv_23']",0.9834648567804448,0.029080463136604368,0.9078121912694175,0.06244474643621074,0.9047682541886907
