,n_estimators,learning_rate,max_depth,objective,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
686,100,0.05,4,reg:squarederror,10,"['mcari2_skewness', 'tex_cont_mean_52', 'tex_cont_cv_25', 'tex_cont_cv_76', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_dis_skewness_4', 'tex_var_cv_39', 'tex_cor_cv_47']",0.9966900045975375,0.013011010688724673,0.9015917800501044,0.06451710157142143,0.8968832527797745
544,50,0.2,3,reg:squarederror,8,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_cont_cv_76', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_asm_cv_29', 'tex_dis_skewness_4', 'tex_var_cv_39']",0.996059631738874,0.014195991953223158,0.894970637221256,0.06665220566100741,0.890988481286517
1620,500,0.15,3,reg:squarederror,12,"['mcari2_skewness', 'mcariosavi_kurtosis', 'tex_cont_mean_52', 'tex_cont_cv_25', 'tex_cont_cv_76', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_dis_skewness_4', 'tex_dis_kurtosis_42', 'tex_var_cv_39', 'tex_cor_cv_47']",0.9999796883379317,0.0010192250044568933,0.8968670929693106,0.06604771391600912,0.8908883737211546
2220,1000,0.15,3,reg:squarederror,12,"['mcari2_skewness', 'mcariosavi_kurtosis', 'tex_cont_mean_52', 'tex_cont_cv_25', 'tex_cont_cv_76', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_dis_skewness_4', 'tex_dis_kurtosis_42', 'tex_var_cv_39', 'tex_cor_cv_47']",0.9999796883379317,0.0010192250044568933,0.8968670929693106,0.06604771391600912,0.8908883737211546
1741,500,0.2,3,reg:squarederror,11,"['mcari2_skewness', 'mcariosavi_kurtosis', 'tex_cont_mean_52', 'tex_cont_cv_25', 'tex_cont_cv_76', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_dis_skewness_4', 'tex_dis_kurtosis_42', 'tex_var_cv_39', 'tex_cor_cv_47']",0.9999748983902473,0.0011330475214225667,0.8944306532271373,0.06682332439304964,0.8888476589266494
2341,1000,0.2,3,reg:squarederror,11,"['mcari2_skewness', 'mcariosavi_kurtosis', 'tex_cont_mean_52', 'tex_cont_cv_25', 'tex_cont_cv_76', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_dis_skewness_4', 'tex_dis_kurtosis_42', 'tex_var_cv_39', 'tex_cor_cv_47']",0.9999748983902473,0.0011330475214225667,0.8944306532271373,0.06682332439304964,0.8888476589266494
1526,500,0.1,4,reg:squarederror,10,"['mcari2_skewness', 'tex_cont_mean_52', 'tex_cont_cv_25', 'tex_cont_cv_76', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_dis_skewness_4', 'tex_dis_kurtosis_42', 'tex_var_cv_39', 'tex_cor_cv_47']",0.9999785606922882,0.0010471350994757074,0.8937170120137827,0.06704880441801747,0.8886317015838202
2126,1000,0.1,4,reg:squarederror,10,"['mcari2_skewness', 'tex_cont_mean_52', 'tex_cont_cv_25', 'tex_cont_cv_76', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_dis_skewness_4', 'tex_dis_kurtosis_42', 'tex_var_cv_39', 'tex_cor_cv_47']",0.9999785606922882,0.0010471350994757074,0.8937170120137827,0.06704880441801747,0.8886317015838202
445,50,0.15,4,reg:squarederror,11,"['mcari2_skewness', 'tex_cont_mean_52', 'tex_cont_cv_25', 'tex_cont_cv_76', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_dis_skewness_4', 'tex_var_cv_39', 'tex_cor_cv_47', 'tex_cor_kurtosis_62']",0.9985732248004744,0.008542305797517987,0.8912128365383993,0.0678340874440087,0.8854596692399493
1045,100,0.15,4,reg:squarederror,11,"['mcari2_skewness', 'tex_cont_mean_52', 'tex_cont_cv_25', 'tex_cont_cv_76', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_dis_skewness_4', 'tex_var_cv_39', 'tex_cor_cv_47', 'tex_cor_kurtosis_62']",0.9998376626604365,0.002881419895473594,0.8910559493848995,0.0678829832069561,0.8852944851696779
